No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
40,o'que é gerente,720,14,1,28,http://sermst.com.br/medicina-do-trabalho/o-que-um-gerente-faz-funcoes-habilidades-e-impacto-nas-empresas/
41,lista de empresas por cnae,70,13,1,27,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
42,o que é gerente,720,15,1,27,http://sermst.com.br/medicina-do-trabalho/o-que-um-gerente-faz-funcoes-habilidades-e-impacto-nas-empresas/
43,gestão em sst,170,20,1,11,http://sermst.com.br/exames/gestao-de-sst-o-guia-completo-para-empresas-que-buscam-seguranca/
44,exame demissional perto de mim,590,18,1,18,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
45,função do gerente,260,13,1,30,http://sermst.com.br/exames/o-que-um-gerente-faz-funcoes-responsabilidades/
46,onde fazer exame demissional perto de mim,170,11,1,17,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
47,encarregada,880,11,1,19,http://sermst.com.br/exames/funcao-encarregado-responsabilidades-e-perfil-ideal/
48,o que e gerente,720,10,1,37,http://sermst.com.br/exames/o-que-um-gerente-faz-funcoes-responsabilidades/
49,função de um gerente,590,10,1,19,http://sermst.com.br/exames/o-que-um-gerente-faz-funcoes-responsabilidades/
50,exame admissional e demissional,590,18,1,9,http://sermst.com.br/
51,largo paissandu 72,170,3,1,19,http://sermst.com.br/contato/
52,como funciona o exame demissional,480,14,1,13,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
53,escavação nr 18,210,20,1,16,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
54,exame demissional o'que é,1900,23,1,14,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
55,exames admissionais perto de mim,170,14,1,6,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
56,clínica de exame admissional perto de mim,590,10,1,16,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
57,o que é pcmso segurança do trabalho,260,92,0,14,http://sermst.com.br/exames/pcmso-tudo-o-que-voce-precisa-saber-sobre-o-programa-de-controle-medico/
58,o que é nr 18,590,75,0,45,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
59,consulta cnae cnpj receita federal,480,72,0,40,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
60,clinica sesmt brasil,320,77,0,14,http://sermst.com.br/
61,exame demissional o que e,1900,77,0,13,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
62,nr 18 escavação,210,33,0,19,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
63,o que significa nr 18,170,84,0,16,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
64,o que o gerente geral faz,170,79,0,26,http://sermst.com.br/medicina-do-trabalho/o-que-um-gerente-faz-funcoes-habilidades-e-impacto-nas-empresas/
65,exame admissional diadema,170,66,0,6,http://sermst.com.br/sao-paulo/onde-realizar-exame-admissional-na-liberdade-sao-paulo/
66,o que é exame de admissão,390,67,0,18,http://sermst.com.br/exames/como-funciona-o-exame-admissional/
67,norma nr 18,210,48,0,34,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
68,escavações nr 18,210,38,0,16,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
69,epis conceito,170,38,0,31,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
70,exame admissional betim,170,41,0,11,http://sermst.com.br/
71,norma regulamentadora 7 nr 7,140,44,0,24,http://sermst.com.br/exames/nr07-guia-completo-da-norma-regulamentadora-no-7/
72,nr 7 programa de controle médico de saúde ocupacional,140,80,0,34,http://sermst.com.br/exames/nr07-guia-completo-da-norma-regulamentadora-no-7/
73,norma regulamentadora 7 programa de controle médico de saúde ocupacional,140,69,0,31,http://sermst.com.br/exames/nr07-guia-completo-da-norma-regulamentadora-no-7/
74,exame demissional para que serve,260,73,0,13,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
75,como escreve epis,260,93,0,33,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
76,cnae lista,1300,33,0,46,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
77,epi segurança do trabalho,1600,78,0,31,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
78,nr 18 para que serve,720,81,0,33,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
79,nbr 18,390,42,0,36,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
80,exames admissionais lapa,320,76,0,5,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
81,exame admissional em salvador,260,82,0,5,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
82,como é feito o exame demissional,260,48,0,14,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
83,o que significa gerente,140,76,0,30,http://sermst.com.br/exames/o-que-um-gerente-faz-funcoes-responsabilidades/
84,tipos de cnae,170,53,0,47,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
85,como é o exame demissional,170,52,0,13,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
86,carga horária nr 35,170,52,0,14,http://sermst.com.br/seguranca-do-trabalho/nr-35-e-nr-18/
87,quem paga o exame demissional,1900,83,0,14,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
88,exame admissional precisa estar em jejum,390,91,0,12,http://sermst.com.br/exames/como-funciona-o-exame-admissional/
89,lista de cnae,1600,52,0,40,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
90,treinamentos de nr 35,320,70,0,27,http://sermst.com.br/seguranca-do-trabalho/nr-35-e-nr-18/
91,o que significa exame demissional,210,75,0,14,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
92,o que significa a sigla epis,590,90,0,14,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
93,exame demissional como funciona,480,24,0,14,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
94,responsabilidades no trabalho,390,29,0,36,http://sermst.com.br/medicina-do-trabalho/funcao-do-encarregado-responsabilidades-competencias-e-impacto-no-ambiente-de-trabalho/
95,consultar cnae receita federal,390,34,0,45,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
96,clinica paysandu,260,29,0,19,http://sermst.com.br/
97,o que é ser um gerente,210,70,0,25,http://sermst.com.br/medicina-do-trabalho/o-que-um-gerente-faz-funcoes-habilidades-e-impacto-nas-empresas/
98,demissional exame,27100,46,0,15,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
99,nr 18 pdf,1000,52,0,40,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
100,para que serve o exame demissional,590,67,0,12,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
101,admissional e demissional,590,50,0,8,http://sermst.com.br/
102,exame medicina do trabalho,210,48,0,17,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
103,exame demissional o que levar,170,67,0,14,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
104,tabela de cnaes,1000,60,0,35,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
105,cnae médicos,720,54,0,38,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
106,encarregado operacional,390,41,0,20,http://sermst.com.br/exames/funcao-encarregado-responsabilidades-e-perfil-ideal/
107,nr 7 exame demissional,170,35,0,10,http://sermst.com.br/exames/nr07-guia-completo-da-norma-regulamentadora-no-7/
108,epi conceito,170,66,0,27,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
109,significado da sigla epi,140,91,0,15,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
110,oq e exame demissional,140,60,0,13,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
111,cnae fiscal,1600,53,0,51,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
112,o'que e nr 35,590,92,0,12,http://sermst.com.br/seguranca-do-trabalho/nr-35-e-nr-18/
113,exames admissionais na lapa,320,95,0,5,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
114,quando deve ser feito o exame demissional,210,59,0,12,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
115,exame de admissão o que é,210,45,0,16,http://sermst.com.br/exames/como-funciona-o-exame-admissional/
116,gestao de sst,170,23,0,14,http://sermst.com.br/exames/gestao-de-sst-o-guia-completo-para-empresas-que-buscam-seguranca/
117,o que um encarregado de limpeza faz,140,20,0,13,http://sermst.com.br/exames/funcao-encarregado-responsabilidades-e-perfil-ideal/
118,empresas de exame admissional,260,13,0,22,http://sermst.com.br/servicos/exame-admissional/
119,qual o significado de epis,170,70,0,29,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
120,nr 18 o que é,3600,87,0,32,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
121,o que e nr 18,170,56,0,41,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
122,cnae receita federal,880,22,0,51,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
123,demissional o que é,390,67,0,13,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
124,o que reprova no exame demissional,210,72,0,18,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
125,exame admissional em maringa,170,43,0,10,http://sermst.com.br/
126,nr 07 o que é,140,52,0,31,http://sermst.com.br/exames/nr07-guia-completo-da-norma-regulamentadora-no-7/
127,clinica aso admissional,260,74,0,4,http://sermst.com.br/sao-paulo/pinheiros/clinica-para-exame-admissional-em-pinheiros/
128,qual a função do gerente,170,29,0,33,http://sermst.com.br/exames/o-que-um-gerente-faz-funcoes-responsabilidades/
129,epi 9,170,76,0,29,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
130,norma regulamentadora 07,9900,77,0,24,http://sermst.com.br/exames/nr07-guia-completo-da-norma-regulamentadora-no-7/
131,exame admissional,60500,53,0,15,http://sermst.com.br/exames/como-funciona-o-exame-admissional/
132,clinica que faz exames admissional,1300,38,0,7,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
133,significado de epi,720,95,0,33,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
134,o que ser gerente,210,49,0,37,http://sermst.com.br/medicina-do-trabalho/o-que-um-gerente-faz-funcoes-habilidades-e-impacto-nas-empresas/
135,o que um encarregado faz,210,27,0,19,http://sermst.com.br/medicina-do-trabalho/funcao-do-encarregado-responsabilidades-competencias-e-impacto-no-ambiente-de-trabalho/
136,epis empresa,260,35,0,36,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
137,significado de epis,170,72,0,31,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
138,para que serve o epi,140,90,0,35,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
139,exame para sair da empresa,210,87,0,15,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
140,clínica exame demissional,590,35,0,8,http://sermst.com.br/
141,guarda corpo nr 18,260,62,0,10,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
142,classificação nacional de atividades econômicas cnae,480,27,0,47,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
143,o'que é ser gerente,210,60,0,20,http://sermst.com.br/medicina-do-trabalho/o-que-um-gerente-faz-funcoes-habilidades-e-impacto-nas-empresas/
144,o que faz um encarregado de produção,140,39,0,17,http://sermst.com.br/exames/funcao-encarregado-responsabilidades-e-perfil-ideal/
145,epi 1,390,94,0,45,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
146,função de gerente,590,59,0,33,http://sermst.com.br/medicina-do-trabalho/o-que-um-gerente-faz-funcoes-habilidades-e-impacto-nas-empresas/
147,admissional demissional,590,73,0,8,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
148,o que é epis,8100,57,0,30,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
149,cnae principal,480,63,0,22,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
150,cnae onde encontrar,320,85,0,37,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
151,código cnae,4400,44,0,43,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
152,epi 7,260,88,0,35,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
153,setrab vila mariana,140,16,0,24,http://sermst.com.br/sao-paulo/exame-admissional-na-vila-mariana/
154,depois do exame demissional qual o próximo passo,260,71,0,14,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
155,o que é nr 7,720,75,0,31,http://sermst.com.br/exames/nr07-guia-completo-da-norma-regulamentadora-no-7/
156,conteúdo programático nr 18,320,40,0,23,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
157,nr 18 construção civil,720,46,0,28,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
158,o'que é demissional,390,50,0,12,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
159,encarregada operacional,390,64,0,18,http://sermst.com.br/exames/funcao-encarregado-responsabilidades-e-perfil-ideal/
160,nr 18 canteiro de obras,260,67,0,17,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
161,nr 7 mte,170,27,0,35,http://sermst.com.br/exames/nr07-guia-completo-da-norma-regulamentadora-no-7/
162,gerente geral o que faz,170,57,0,27,http://sermst.com.br/exames/o-que-um-gerente-faz-funcoes-responsabilidades/
163,o'que e exame demissional,1900,82,0,13,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
164,exame médico demissional,390,44,0,14,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
165,origem dos epis,720,74,0,12,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
166,o que precisa para fazer exame admissional,140,89,0,13,http://sermst.com.br/exames/como-funciona-o-exame-admissional/
167,exame admissional o que e,170,69,0,15,http://sermst.com.br/exames/como-funciona-o-exame-admissional/
168,norma regulamentadora 7,480,62,0,24,http://sermst.com.br/exames/nr07-guia-completo-da-norma-regulamentadora-no-7/
169,consulta cnae receita federal,390,68,0,42,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
170,clínica sesmt brasil,320,80,0,13,http://sermst.com.br/
171,cnaes lista,1300,50,0,37,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
172,exame admissional campo grande ms,720,43,0,4,http://sermst.com.br/
173,treinamento de nr 35,320,38,0,14,http://sermst.com.br/seguranca-do-trabalho/nr-35-e-nr-18/
174,cargos de gerentes,260,79,0,25,http://sermst.com.br/exames/o-que-um-gerente-faz-funcoes-responsabilidades/
175,cnae do cnpj,260,59,0,40,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
176,exame médico do trabalho,260,43,0,20,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
177,exame demissional como é feito,260,47,0,13,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
178,epi sigla,210,66,0,12,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
179,gestão de sst,170,70,0,11,http://sermst.com.br/exames/gestao-de-sst-o-guia-completo-para-empresas-que-buscam-seguranca/
180,nr 18 trabalho a quente,390,53,0,11,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
181,médico admissional,170,87,0,15,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
182,como fazer a carta de demissão,1000,74,0,17,http://sermst.com.br/medicina-do-trabalho/como-fazer-uma-carta-de-demissao-guia-completo-para-profissionais/
183,quais os exames admissionais,260,74,0,13,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
184,mgs medicina ocupacional e segurança do trabalho,140,39,0,21,http://sermst.com.br/
185,epi 5,260,81,0,28,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
186,exame demissional quando deve ser feito,210,80,0,11,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
187,exame demissional quem paga,1900,64,0,14,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
188,atividades cnae,590,55,0,57,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
189,onde fazer atestado admissional,320,94,0,14,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
190,pgr nr 18,170,24,0,13,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
191,o que faz no exame demissional,140,63,0,13,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
192,o que é exame demissional,1900,61,0,13,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
193,exames admissionais cuiaba,590,47,0,6,http://sermst.com.br/
194,o'que precisa para fazer exame admissional,140,69,0,13,http://sermst.com.br/exames/como-funciona-o-exame-admissional/
195,programas sst,210,84,0,11,http://sermst.com.br/exames/gestao-de-sst-o-guia-completo-para-empresas-que-buscam-seguranca/
196,listas de atividades,320,94,0,50,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
197,exame admissional o'que é,8100,69,0,15,http://sermst.com.br/exames/como-funciona-o-exame-admissional/
198,o que faz um gerente geral,170,75,0,23,http://sermst.com.br/exames/o-que-um-gerente-faz-funcoes-responsabilidades/
199,exames demissionais,590,65,0,10,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
200,quando fazer o exame demissional,170,67,0,13,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
201,lista de empresas por cnae grátis,90,50,0,12,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
202,o'que e nr 18,170,81,0,32,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
203,para que serve os epis,140,16,0,23,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
204,saúde ocupacional o'que é,390,73,0,33,http://sermst.com.br/medicina-do-trabalho/o-que-e-saude-ocupacional-um-guia-completo/
205,epi's o que é,1900,76,0,35,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
206,cnae empresas,880,26,0,42,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
207,para fazer exame admissional precisa estar em jejum,210,84,0,12,http://sermst.com.br/exames/como-funciona-o-exame-admissional/
208,lista cnae,1300,46,0,38,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
209,o'que significa demissional,260,25,0,15,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
210,o que significa demissional,260,81,0,14,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
211,mest serviços medicina e segurança do trabalho,140,34,0,10,http://sermst.com.br/
212,admissional o que é,590,78,0,15,http://sermst.com.br/exames/como-funciona-o-exame-admissional/
213,normas regulamentadoras 7,480,69,0,33,http://sermst.com.br/exames/nr07-guia-completo-da-norma-regulamentadora-no-7/
214,o que e demissional,390,29,0,15,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
215,o que é ser gerente,210,56,0,31,http://sermst.com.br/medicina-do-trabalho/o-que-um-gerente-faz-funcoes-habilidades-e-impacto-nas-empresas/
216,clinicas que fazem exame admissional,210,30,0,6,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
217,o'que e demissional,390,56,0,14,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
218,nr 18 atualizada,2900,84,0,27,http://sermst.com.br/seguranca-do-trabalho/nr-18-guia-completo/
219,o que faz no exame admissional,480,43,0,14,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
220,sesmt brasil,320,83,0,32,http://sermst.com.br/servicos/
221,norma regulamentadora 7 atualizada,140,64,0,22,http://sermst.com.br/exames/nr07-guia-completo-da-norma-regulamentadora-no-7/
222,o'que é equipamentos de proteção individual,140,71,0,37,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
223,nr 7 fala sobre o que,320,78,0,26,http://sermst.com.br/exames/nr07-guia-completo-da-norma-regulamentadora-no-7/
224,prazo para fazer exame demissional,170,81,0,18,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
225,epi o que é,1900,90,0,36,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
226,equipamento de proteção individual e coletivo,210,86,0,18,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
227,exame clinico ocupacional,720,76,0,7,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
228,gestão ocupacional,170,56,0,10,http://sermst.com.br/medicina-do-trabalho/o-que-e-saude-ocupacional-um-guia-completo/
229,programa de controle médico e saúde ocupacional nr 7,10,27,0,5,http://sermst.com.br/medicina-do-trabalho/nr-07-tudo-o-que-voce-precisa-saber-sobre-o-controle-medico-de-saude-ocupacional/
230,rua são paulo n 409 edifício avenida 17 andar centro,140,52,0,5,http://sermst.com.br/
231,aso demissional prazo,170,76,0,14,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
232,código cnae principal,210,65,0,17,http://sermst.com.br/medicina-do-trabalho/lista-cnae-brasil-o-guia-completo-para-empresas-e-empreendedores/
233,clismed clínica de segurança e medicina do trabalho,1600,60,0,17,http://sermst.com.br/
234,empresas de exames admissionais,260,17,0,16,http://sermst.com.br/medicina-do-trabalho/exame-admissional-perto-de-mim/
235,epi,110000,77,0,47,http://sermst.com.br/exames/o-que-sao-epis-entenda-os-equipamentos-de-protecao/
236,exame demissional quando fazer,880,77,0,15,http://sermst.com.br/medicina-do-trabalho/como-funciona-o-exame-demissional-guia-completo-e-estrategico/
